,MIN_PRICE,MAX_PRICE,CLASSIFICATION_GENRE,VENUE_LATITUDE,VENUE_LONGITUDE
81143,39.5,39.5,Rock,42.3528999,-71.1326128
81147,25.0,70.0,Country,37.035653,-76.382704
81157,25.0,25.0,Metal,32.225101,-110.969001
81159,99.0,99.0,Undefined,29.785971,-95.366997
81175,29.5,99.5,Pop,39.52331,-119.781017
81179,73.0,133.0,Latin,32.7143327,-117.1612254
81193,55.0,250.0,Rock,36.1276013,-115.1676835
81271,20.0,44.0,Undefined,39.09674,-84.51345
81281,35.0,35.0,Rock,37.8077176,-122.2700597
81300,27.0,37.0,Alternative,33.451777,-112.076837
81307,29.5,75.0,Pop,40.349071,-74.07022
81327,66.0,177.0,R&B,32.8674834,-80.0212533
81332,24.5,59.5,Undefined,40.86969685,-73.42591099
81340,29.5,129.5,Rock,39.77464676,-86.15145874
81341,15.0,15.0,Hip-Hop/Rap,33.75202,-84.38945
81350,40.0,50.0,Rock,32.716598,-117.224101
81375,56.75,60.75,Undefined,30.4114288,-87.2150604
81391,39.5,79.5,Rock,29.42471628,-98.49110126
81432,27.5,27.5,Metal,36.087535,-115.174742
81467,25.1,121.6,Religious,38.992766166751125,-104.7952960846555
81485,35.0,55.0,Rock,37.8077176,-122.2700597
81582,35.0,50.0,Country,39.143968,-84.521195
81589,20.0,20.0,Pop,34.051841,-118.267076
81597,29.5,85.0,Rock,47.6568,-117.426
81601,15.0,15.0,Rock,32.71662,-117.15951
81604,25.0,25.0,Hip-Hop/Rap,38.569993,-121.49087928
81611,20.0,20.0,Rock,39.96477,-75.134457
81615,29.5,75.0,Hip-Hop/Rap,40.734917,-73.9884469
81630,20.0,20.0,Metal,40.238168,-76.982145
81655,27.5,64.5,Undefined,35.962335,-83.917015
81657,32.5,69.5,Country,41.9063,-87.659
81675,45.0,100.0,Rock,39.115604,-77.5678328
81692,49.5,49.5,Other,39.744362,-104.990271
81694,89.5,89.5,Folk,38.839787,-77.061339
81698,39.5,55.0,Rock,37.8077176,-122.2700597
81732,22.5,22.5,R&B,44.94606,-93.095397
81733,40.0,40.0,Country,38.0304746,-78.48181653
81779,25.0,25.0,Blues,42.3323449,-83.041464
81826,57.21,107.21,Dance/Electronic,36.102916,-115.169756
81833,19.0,120.0,Hip-Hop/Rap,43.080888,-89.374566
81857,36.0,36.0,Rock,38.91795,-77.02373
81891,23.0,23.0,Rock,33.75184,-84.389887
81902,25.0,25.0,Rock,29.78627,-95.36562
81929,39.0,57.0,World,42.396753,-71.122819
81948,30.0,40.0,Undefined,33.281669,-111.973712
81961,18.0,18.0,Alternative,43.618089,-116.207009
82031,32.5,49.5,Rock,32.78521325,-96.80851279
82052,20.0,20.0,Pop,34.04898,-118.23365
82094,21.45,21.45,Rock,40.722036,-73.986806
82111,62.75,99.72,Pop,40.759649,-73.987331
82118,29.5,49.5,Rock,32.78521325,-96.80851279
82130,29.5,99.5,Rock,39.52331,-119.781017
82131,57.21,107.21,Dance/Electronic,36.102916,-115.169756
82137,30.5,60.5,Country,39.197639,-86.238487
82182,32.5,62.5,Hip-Hop/Rap,33.451085,-112.079228
82194,0.0,0.0,Alternative,29.9172719,-90.1007669
82196,74.59,98.28,Alternative,40.759649,-73.987331
82220,22.0,22.0,Rock,33.75184,-84.389887
82221,89.95,99.95,Undefined,36.113397,-115.160087
82240,18.0,18.0,Rock,34.077729,-118.260108
82245,27.5,45.0,R&B,44.980837,-93.237034
82256,39.5,89.5,Rock,35.2050931,-80.7953024
82351,10.0,10.0,Rock,30.268487,-97.736192
82472,103.0,1503.0,Country,36.116156,-115.175058
82564,35.0,100.0,Religious,29.66291734,-98.44277781
82604,15.0,65.0,Undefined,28.370393,-81.504616
82653,29.0,67.5,Rock,40.349071,-74.07022
82696,20.0,35.0,Undefined,41.0169827,-92.411414
82809,20.0,20.0,Metal,42.3323449,-83.041464
82821,20.0,35.0,Country,38.24851446,-85.75788997
82853,35.0,35.0,Pop,38.91795,-77.02373
82857,20.0,20.0,Country,38.0304746,-78.48181653
82875,17.75,17.75,Pop,32.990942,-117.270629
82888,19.27,44.2,Country,36.175636,-86.755652
82896,35.0,59.5,Country,41.611827,-93.758402
82993,44.5,99.5,Rock,38.67209,-90.59321
83109,20.0,25.0,Country,42.3518332,-71.1195379
83148,16.2,16.2,Jazz,34.618276,-118.190148
83149,74.95,99.95,Dance/Electronic,38.9631,-119.94034
83151,55.0,86.0,Country,26.4333,-81.37905
83194,25.0,25.0,Metal,39.28763705,-76.60719037
83195,30.0,30.0,Undefined,42.96368051,-85.6727647
83292,42.5,77.0,Country,39.0611494,-94.5905256
83296,28.0,55.0,Rock,40.76963375,-111.90302543
83319,79.5,275.0,R&B,42.341089,-83.055434
83320,59.0,246.0,Hip-Hop/Rap,38.626432,-90.202617
83331,61.99,201.99,Other,40.7497062,-73.9916006
83333,29.5,85.0,Metal,32.7163734,-117.16008559
83335,20.0,50.5,Country,39.09674,-84.51345
83337,20.0,20.0,Rock,42.3528999,-71.1326128
83340,159.0,159.0,Country,35.9517627,-83.925366
83343,59.0,175.0,R&B,32.8674834,-80.0212533
83346,15.0,35.0,Rock,40.8124988,-74.2165153
83370,49.5,214.5,Classical,47.6135664,-122.3319103
83378,50.76,81.76,Undefined,36.098738,-115.175011
83384,30.0,55.0,Rock,34.046375,-118.252544
83398,25.5,84.5,Country,37.82668018,-97.33095802
83401,15.0,25.0,Country,36.8493416,-76.0194075
83419,15.0,20.0,Rock,43.0797365,-89.3765191
83484,20.0,20.0,Dance/Electronic,40.720364,-73.993542
83544,35.0,35.0,Hip-Hop/Rap,42.65288,-73.75036
83561,40.0,120.0,Classical,40.337856,-75.926357
83599,15.0,15.0,Pop,42.65288,-73.75036
83602,49.5,90.0,Metal,47.6568,-117.426
83604,12.0,15.0,Country,38.954566,-92.326085
83614,69.0,179.0,Pop,36.11726269,-115.17272405
