artist_name,artist_spotify_id,scraped_popularity
Caifanes,1GImnM7WYVp95431ypofy9,72
Brass Against,25uPlxGvXMDy9eUX7oeDei,35
Gideon King & City Blog,33fXxnMHm3wCJk6p1sje7i,18
7th Heaven,7yf6dptJcJTHcsvN9e84zR,11
SUSTO,7foyQbi7GKriLiv1GPVEwt,46
So Fetch,,-1
BABYMONSTER,1SIocsqdEefUTE6XKGUiVS,76
Sir Woman,3H03S3ZtyYLdzsk6EYndUL,48
Cavalera,,-1
Necrot,5jWIRPU5rVBm6ky8Atq7AW,27
Dead Heat,19iuui5P7sEZs1T7IX5Uh8,23
Backlash,30g1v9WiF5GieR3GdX1dYC,2
Jason Isbell,3Q8wgwyVVv0z4UEh1HB0KY,54
Killer Queen,,-1
Alexandra Kay,67ZcPnEGiAlCx2O3sQarWV,56
Dancing with the Stars,,-1
The Rock and Roll Playhouse,,-1
Bestial Mouths,0vHo9GceFuSSJjSbF49Uzt,13
Bon Entendeur,2lwjwKfYZCuPEJOo8t32CD,58
LeBRON,3fNqxnozUktkK0fXmR0wTh,7
The Australian Bee Gees (Vegas),,-1
The King Comes Home,,-1
Pathogenic,4VxcDWS0jI6ATP6mMKvuYz,21
Mac Ayres,0fTav4sBLmYOAzKuJw0grL,55
Marlon Asher,4DeCJnS3fuqohKk4FCVl0y,38
Experience Hendrix,,-1
Electric Feels,,-1
Lisa Loeb,1TMMyiSsNzmRiZCAkVLVb2,50
Absolute Queen,,-1
Sevendust,35Uu85Pq33mK8x1jYqsHY2,55
Club Seating: Paramount Theatre,,-1
Colin Mochrie & Brad Sherwood,,-1
Club Seating: Paramount Theatre,,-1
Colin Mochrie & Brad Sherwood,,-1
Pat McCurdy,2Tdlpq4gnRZOa1nCtjB8v3,10
The Takes,22CxvQCHRWjDdy0nco4nch,28
Women Tied to Railroad Tracks,3ao1Gf1WNuYDokmUFLFaBg,0
Adema,3n4ersmDo55xV4fPSCKpXb,44
The Australian Bee Gees (Vegas),,-1
Nathy Peluso,3VHAySZQPlfGlNLslzXYpN,66
Alex Jean,5qSM9F3Ei58tG08tXrJjSi,59
Piano Man,,-1
The Mongoloids,0SV4MV57u6CwBt2VwS8F7L,19
Vienna Vienna,5ZVQRC3rtUNBJVrrrSl17r,47
Slomosa,0l7GXb53ndWn97ul8Hpfzd,43
Gary Clark Jr,,-1
Grace Bowers,,-1
I Love the 90s,,-1
Vanilla Ice,7GXXMm3DB1VswVcuGyInUd,57
Jesse Dayton,1NXXAtaI7ZYLazlZy2bXGa,31
Spazmatics - Las Vegas,,-1
Yonder Mountain String Band,1ReHC2jB2DGoPbMYhzuFuO,41
Styx,4salDzkGmfycRqNUbyBphh,62
Dylan Sinclair,45RZn1pAEvQYqkRnvFaIJx,44
Last Dinosaurs,677sHrkjhB7IP4YwjzZyc4,53
CJ Chenier,,-1
The Judy Chops,1MlkLIQg52mRJfvPExl2fy,2
Fulton Lee,5CAvR9koH16JpcoTxUoeyS,48
Max McNown,340PS4ZcZ4UCBgyrXzEjcp,69
FINAL FANTASY VII REBIRTH Orchestra World Tour,,-1
Alex Jean,5qSM9F3Ei58tG08tXrJjSi,59
Warren Haynes,73iWh9WUMf0xK6cRkNJK4h,44
moe.,2ZfHMUPrxoZNDTBPHmmdhj,41
The Pink Floyd Laser Spectacular,,-1
Mark Lettieri Group,,-1
Aborted,1XRhUgCyzIdeT8d9KMfeDR,43
Ingested,0EziqO4Mehje1x6hA1Fg2m,38
Kabaka Pyramid,10p1CDVyRIkR2ybAu7SbVH,50
Coco Montoya,5nU57S2m2i7gWujCtGKmAb,34
Coki,,-1
Chango,6H8DWpfHtvmgfRx7II470N,10
RIDDIM NYC,,-1
Mason Jennings,6CQrZZn0g2ZNfIcXbi4pdo,39
Dancing with the Stars,,-1
Ladysmith Black Mambazo,3FdLhnmXynPvZkbILPpB6d,49
070 Shake,12Zk1DFhCbHY6v3xep2ZjI,69
Bryant Barnes,1URGXPcURc0aQzLeph65nK,65
Johan Lenox,1KuV6xtFnLPsneN3yBrjFj,39
Draco Rosa,4Vo7jk7sjpIFMk14dedex5,47
Bebop Bounty Big Band,,-1
J.I.,,-1
Who's Bad,,-1
Club Seating: Paramount Theatre,,-1
The Price Is Right Live - Stage Show,,-1
Dancing with the Stars,,-1
Aborted,1XRhUgCyzIdeT8d9KMfeDR,43
Ingested,0EziqO4Mehje1x6hA1Fg2m,38
Arts Fishing Club,6DUKY45lfzxJLOfU0v9C0j,36
Connor Kelly & The Time Warp,1zPBaiyAP0pKi4oMnvfAUi,25
Last Dinosaurs,677sHrkjhB7IP4YwjzZyc4,53
Tipling Rock,2ZDHVJnLtH2KJfBFzShihr,46
Jasper Bones,,-1
Ray Stephenson,4JjMS8R5pcdWTTVUKGHGoJ,0
Tim James,0CLs04yi5LYa7nQyxG9y7O,22
"Deja Vu - A Musical Retrospective of Crosby Stills Nash & Young",,-1
Counterparts,5LyRnL0rysObxDRxzSfV1z,51
Pain Of Truth,6tnuL2AIiA5wCpO5Pm8Xql,39
Malevolence,7KFv5Cni7kseXWHJnnejXk,46
Foreign Hands,09RKiiT2NAJ7qYoAGOYu9w,34
Alt Bloom,6JxQbC46LapcvanSk4J3OP,41
Annika Wells,0kErUwb6xgWfkdn0RyZWHZ,51
Phil Wickham,5d1JhBfyb58upMXCZOdbQu,66
Cody Carnes,7apN8bBgl19E0Ona9pvPq0,64
Kristian Stanfill,61fqRzZ9aHyPeTdUIqEEFx,58
Dream Theater,2aaLAng2L2aWD2FClzwiep,65
The Courettes,6WgWgrr6uzaekOZjXYKD2E,24
The Devil Makes Three,63knPlGzLHTNDf1J78Fvte,55
Bridge City Sinners,,-1
Rose City Band,4TysFpMssaAsBomBur7jpK,39
Heavenward,3iKDeO8yaOiWz7vkeljunk,28
The Rikkies,,-1
Ovlov,2Iy7tZpp5qQudlg5cbcgH8,42
Emile Mosseri,0BNz24TKUn8Ov1ApFkLzA1,61
Paul Dally,6OQd6IInCegvnBJ3eWeokE,22
The Funeral Portrait,4iGsihTcyZ80RQFZhC8bf8,51
If Not For Me,5aqpMOXNPtkxwT7jWuE9Vd,48
Umphrey's McGee,7mQilAy42MqNPqUFqK4Z0o,42
Lovesong: The Cure Tribute,,-1
Deftones,6Ghvu1VvMGScGpOUJBAHNH,80
Billy Strings,1ZN1c1qWEGZNX1pGeKCPpf,62
Umphrey's McGee,7mQilAy42MqNPqUFqK4Z0o,42
Good Kid,38SKxCyfrmNWqWunb9wGHP,65
Apocalyptica,4Lm0pUvmisUHMdoky5ch2I,61
Nita Strauss,73GhYkwfPQzmfJb1cdPqPf,42
Simon Phillips,6pPx8jYe1vzHuQea1st8Iy,37
Simon Phillips,6pPx8jYe1vzHuQea1st8Iy,37
Simon Phillips,6pPx8jYe1vzHuQea1st8Iy,37
