VENUE_NAME,VENUE_CITY,CAPACITY
Encore Theater at Wynn Las Vegas,Las Vegas,1480.0
Heritage Bank Center,Cincinnati,17556
KeyBank Center,Buffalo,19200
Choctaw Grand Theater,Durant,3000
The Echo,Los Angeles,350
Agganis Arena,Boston,7200
Barclays Center,Brooklyn,19000
Center Stage Theater,Atlanta,1050
Pantages Theatre,Minneapolis,2703
Lexington Opera House,Lexington,1000
Blue Ocean Music Hall,Salisbury,NA
The Fillmore,San Francisco,1315.0
The Belasco,Los Angeles,1500
Allstate Arena,Rosemont,18500.0
Baltimore Soundstage,Baltimore,1000.0
The Depot,Salt Lake City,1200
White Oak Music Hall - Downstairs,Houston,1000
Marquee Theatre,Tempe,5000.0
713 Music Hall,Houston,5000
Emo's Austin,Austin,1300
Russell Industrial Center,Detroit,1500
Echostage,Washington,3000
MGM Northfield Park - Center Stage,Northfield,NA
Muckleshoot Casino Events Center,Auburn,NA
The Fillmore Charlotte,Charlotte,2000
Civic Theatre,New Orleans,1200
Coca-Cola Roxy,Atlanta,3600.0
Balboa Theatre,San Diego,1339.0
Maverik Center,West Valley City,NA
Fontainebleau,Las Vegas,3800.0
ExtraMile Arena,Boise,13390
United Palace,New York,3350.0
James L Knight Center,Miami,4609.0
Paramount Theatre,Denver,3040.0
Majestic Theatre,Detroit,1100
Rialto Theatre-Tucson,Tucson,1400
Orpheum Theatre,Los Angeles,2000
Warsaw,Brooklyn,1100
Aura,Portland,1000
Donald L. Tucker Civic Center,Tallahassee,12500
Spectrum Center ,Charlotte,17500
Legacy Arena at The BJCC ,Birmingham,19000
Amalie Arena,Tampa,21500
Lenovo Center,Raleigh,20000
Gainbridge Fieldhouse,Indianapolis,18000
Hollywood Casino at Charles Town Races,Charles Town,1500
The Exhibition Hall at French Lick Resort,French Lick,200
Hard Rock Live Rockford,Rockford,2000
Ford Park,Beaumont,14000
Antone's Nightclub,Austin,250
Suquamish Clearwater Casino Event Center,Suquamish,NA
Aztec Theatre ,San Antonio,1500
Mercury Lounge,New York,250
1884 Lounge,Memphis,400
The Vanguard,Tulsa,450
Hackensack Meridian Health Theatre at the Count Basie Center ,Red Bank,NA
Ritz Theatre,Elizabeth,2772
Teragram Ballroom,Los Angeles,625.0
Gramercy Theatre,New York,650
The Santander Arena ,Reading,8800
The Merry Widow,Mobile,NA
Echoplex,Los Angeles,780
The Crocodile,Seattle,750
recordBar,Kansas City,NA
The District,Spokane,NA
Spirit Hall,Pittsburgh,450
The Shelter,Detroit,400
Fillmore Minneapolis presented by Affinity Plus,Minneapolis,1850
St. George Theatre,Staten Island,1903
UB Center for the Arts - Mainstage Theatre,Buffalo,1748
Bill Graham Civic Auditorium,San Francisco,8500
Fishers Event Center,Fishers,7500
Kia Forum,Inglewood,19000
Grand Sierra Resort and Casino,Reno,2000
Petersen Events Center,Pittsburgh,12508
Brooklyn Bowl Las Vegas,Las Vegas,3000
The Observatory,Santa Ana,1700.0
Knitting Factory - Boise,Boise,1000
Tractor,Seattle,NA
Frost Bank Center,San Antonio,19000
Gas South Arena,Duluth,13000
Harrah's Resort SoCal - The Events Center,Valley Center,2200
Old National Centre,Indianapolis,2000
The Fillmore Detroit,Detroit,2888
The Andrew J Brady Music Center,Cincinnati,NA
Boch Center Wang Theatre,Boston,3500
The Met Presented by Highmark,Philadelphia,2500
Hampton Roads Convention Center,Hampton,NA
IP Casino Resort and Spa,Biloxi,NA
Peabody Auditorium,Daytona Beach,2521
The Wellmont Theater,Montclair,2500
Bridgestone Arena,Nashville,20000
Payne Arena,Hidalgo,7000
Ford Center,Evansville,10000
Brighton Music Hall presented by Citizens,Boston,500
Marquis,Denver,700.0
The Masquerade  - Altar,Atlanta,250
Petco Park,San Diego,42000
Off Broadway,Saint Louis,250
Rumba Cafe,Columbus,NA
The Southgate House Revival - Sanctuary,Newport,600
Duling Hall,Jackson,500
Chickie Wah Wah,New Orleans,200
Save Mart Center,Fresno,18000
The Stage At Coco Outdoors,Coconut Creek,NA
Beachland Ballroom,Cleveland,500
Blueberry Hill Duck Room,Saint Louis,340
Brooklyn Made,Brooklyn,500
Voodoo Room at the House of Blues San Diego,San Diego,250
Encore at Uptown Theater,Kansas City,1480
River City Casino & Hotel,Saint Louis,NA
Birdland Jazz Club,New York,300.0
Garcia's at The Capitol Theatre,Port Chester,1800
Pike Room @ The Crofoot,Pontiac,NA
Ludlow Garage Cincinnati,Cincinnati,500
Fillmore New Orleans,New Orleans,2200
SAP Center at San Jose,San Jose,NA
Riverside Municipal Auditorium,Riverside,NA
SACRAMENTO MEMORIAL AUDITORIUM,Sacramento,3849
Chesapeake Employers Insurance Arena,Baltimore,5000
Saenger Theatre Mobile,Mobile,1921
North Charleston Performing Arts Center,North Charleston,13295
Effingham Performance Center,Effingham,1523
The Southgate House Revival - Revival Room,Newport,75
Heaven Can Wait,New York,200
